"IMPORTANTE","cod_universidad","des_universidad","anio","cod_pais_nacionalidad","des_pais_nacionalidad","cod_continente_nacionalidad","des_continente_nacionalidad","lat_pais_nacionalidad","lon_pais_nacionalidad","cod_agregacion_paises_nacionalidad","des_agregacion_paises_nacionalidad","cod_genero","des_genero","anio_nacimiento","cod_tipo_personal_investigacion","des_tipo_personal_investigacion","cod_modalidad_personal_investigacion","des_modalidad_personal_investigacion","cod_tipo_organismo","des_tipo_organismo","cod_dedicacion","des_dedicacion","duracion_meses","cod_titulo_doctorado","des_titulo_doctorado","cod_pais_doctorado","des_pais_doctorado","lat_pais_doctorado","lon_pais_doctorado","cod_continente_doctorado","des_continente_doctorado","cod_agregacion_paises_doctorado","des_agregacion_paises_doctorado","cod_universidad_doctorado","des_universidad_doctorado","anio_lectura_tesis","anio_resolucion_convocatoria","anio_incorporacion","cod_tipo_unidad_responsable","des_tipo_unidad_responsable","cod_unidad_responsable","des_unidad_responsable","cod_area","des_area"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2019","604","Perú","019","Américas","-9.189967","-75.015152","419","América Latina y el Caribe","M","Mujer","1981","3","Personal técnico de apoyo a la investigación","8","Personal técnico de apoyo","6","Universidad","1","Dedicación a Tiempo Completo","2","0","No",,,,,,,,,,,,"2019","2019","2","Departamento","55004107","Farmacología y Toxicología",,
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2019","214","República Dominicana","019","Américas","18.735693","-70.162651","419","América Latina y el Caribe","H","Hombre","1992","2","Investigador con cargo a proyectos de investigación, Art. 83 y a grupos de investigación","3","Otro investigador predoctoral (ya sea en formación o en contratación)","4","Administración Autonómica","1","Dedicación a Tiempo Completo","3","0","No",,,,,,,,,,,,"2019","2018","2","Departamento","55004073","Didáctica y Teoría de la Educación",,
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2019","340","Honduras","019","Américas","15.199999","-86.241905","419","América Latina y el Caribe","M","Mujer","1989","2","Investigador con cargo a proyectos de investigación, Art. 83 y a grupos de investigación","3","Otro investigador predoctoral (ya sea en formación o en contratación)","1","Organismo europeo","1","Dedicación a Tiempo Completo","13","0","No",,,,,,,,,,,,"2019","2019","2","Departamento","55000705","Ingeniería de Software e Inteligencia Artificial",,
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2019","170","Colombia","019","Américas","4.570868","-74.297333","419","América Latina y el Caribe","H","Hombre","1984","2","Investigador con cargo a proyectos de investigación, Art. 83 y a grupos de investigación","7","Otro investigador postdoctoral (ya sea en formación o en contratación)","4","Administración Autonómica","1","Dedicación a Tiempo Completo","6","0","No",,,,,,,,,,,,"2019","2019","2","Departamento","55000697","Sanidad Animal",,
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2019","604","Perú","019","Américas","-9.189967","-75.015152","419","América Latina y el Caribe","H","Hombre","1991","3","Personal técnico de apoyo a la investigación","8","Personal técnico de apoyo","6","Universidad","2","Dedicación a Tiempo Parcial","6","1","Uno",,,,,,,,,,,,"2019","2019","2","Departamento",,,,
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2019","032","Argentina","019","Américas","-38.416097","-63.616672","419","América Latina y el Caribe","M","Mujer","1977","2","Investigador con cargo a proyectos de investigación, Art. 83 y a grupos de investigación","3","Otro investigador predoctoral (ya sea en formación o en contratación)","6","Universidad","1","Dedicación a Tiempo Completo","7","0","No",,,,,,,,,,,,"2019","2018","2","Departamento","55004107","Farmacología y Toxicología",,
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2019","076","Brasil","019","Américas","-14.235004","-51.92528","419","América Latina y el Caribe","H","Hombre","1976","2","Investigador con cargo a proyectos de investigación, Art. 83 y a grupos de investigación","7","Otro investigador postdoctoral (ya sea en formación o en contratación)","4","Administración Autonómica","1","Dedicación a Tiempo Completo","5","0","No",,,,,,,,,,,,"2019","2019","3","Otro tipo de unidad",,,,
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2019","604","Perú","019","Américas","-9.189967","-75.015152","419","América Latina y el Caribe","H","Hombre","1990","1","Investigador de convocatorias públicas competitivas de ámbito universitario, local, autonómico, estatal o internacional","3","Otro investigador predoctoral (ya sea en formación o en contratación)","6","Universidad","1","Dedicación a Tiempo Completo","48","0","No",,,,,,,,,,,,"2019","2019","2","Departamento",,,,
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2019","862","Venezuela (República Bolivariana de)","019","Américas","6.42375","-66.58973","419","América Latina y el Caribe","M","Mujer","1976","2","Investigador con cargo a proyectos de investigación, Art. 83 y a grupos de investigación","3","Otro investigador predoctoral (ya sea en formación o en contratación)","6","Universidad","1","Dedicación a Tiempo Completo","9","0","No",,,,,,,,,,,,"2019","2019","2","Departamento","55000705","Ingeniería de Software e Inteligencia Artificial",,
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2019","032","Argentina","019","Américas","-38.416097","-63.616672","419","América Latina y el Caribe","H","Hombre","1991","2","Investigador con cargo a proyectos de investigación, Art. 83 y a grupos de investigación","7","Otro investigador postdoctoral (ya sea en formación o en contratación)","3","Administración Central","1","Dedicación a Tiempo Completo","12","1","Uno","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","010","Universidad Complutense de Madrid","2012","2019","2018","2","Departamento","55000569","Química Física I",,
