"curso_academico","cod_universidad","des_universidad","cod_departamento","des_departamento","cod_municipio","des_municipio","cod_campus","des_campus","cod_situacion_departamento","des_situacion_departamento","fecha_desde_situacion_departamento"
"2017-18","036","Universidad Carlos III de Madrid","55003473","Departamento de Análisis Social","28065","GETAFE","03602","Getafe","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55001917","Departamento de Biblioteconomía y Documentación","28065","GETAFE","03602","Getafe","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55002537","Departamento de Bioingeniería e Ingeniería Aeroespacial","28074","LEGANÉS","03601","Leganés","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55001939","Departamento de Ciencia e Ingeniería de Materiales e Ingenieria Química","28074","LEGANÉS","03601","Leganés","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55003472","Departamento de Ciencias Sociales","28065","GETAFE","03602","Getafe","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55001927","Departamento de Derecho Internacional, Eclesiástico y Filosofía del Derecho","28065","GETAFE","03602","Getafe","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55001928","Departamento de Derecho Penal, Procesal e Historia","28065","GETAFE","03602","Getafe","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55001924","Departamento de Derecho Privado","28065","GETAFE","03602","Getafe","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55001926","Departamento de Derecho Público del Estado","28065","GETAFE","03602","Getafe","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55001925","Departamento de Derecho Social e Internacional Privado","28065","GETAFE","03602","Getafe","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55001916","Departamento de Economía","28065","GETAFE","03602","Getafe","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55001918","Departamento de Economía de la Empresa","28065","GETAFE","03602","Getafe","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55001935","Departamento de Estadística","28065","GETAFE","03602","Getafe","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55001921","Departamento de Física","28074","LEGANÉS","03601","Leganés","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55001940","Departamento de Humanidades: Filosofía, Lenguaje y Literatura","28065","GETAFE","03602","Getafe","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55001941","Departamento de Humanidades: Historia, Geografía y Arte","28065","GETAFE","03602","Getafe","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55001919","Departamento de Informática","28074","LEGANÉS","03601","Leganés","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55001933","Departamento de Ingeniería de Sistemas y Automática","28074","LEGANÉS","03601","Leganés","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55001931","Departamento de Ingeniería Eléctrica","28074","LEGANÉS","03601","Leganés","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55001934","Departamento de Ingeniería Mecánica","28074","LEGANÉS","03601","Leganés","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55001929","Departamento de Ingeniería Telemática","28074","LEGANÉS","03601","Leganés","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55001937","Departamento de Ingeniería Térmica y Fluidos","28074","LEGANÉS","03601","Leganés","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55001920","Departamento de Matemáticas","28074","LEGANÉS","03601","Leganés","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55001936","Departamento de Mecánica de Medios Continuos y Teoría de Estructuras","28074","LEGANÉS","03601","Leganés","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55001938","Departamento de Periodismo y Comunicación Audiovisual","28065","GETAFE","03602","Getafe","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55001932","Departamento de Tecnología Electrónica","28074","LEGANÉS","03601","Leganés","1","Activo","20130701"
"2017-18","036","Universidad Carlos III de Madrid","55001930","Departamento de Teoría de la Señal y Comunicaciones","28074","LEGANÉS","03601","Leganés","1","Activo","20130701"
